start,mid1,mid2,end
DEXE,BTC,USDT,DEXE
DEXE,USDT,BTC,DEXE
DEXE,USDT,BTC,DEXE
DEXE,BTC,USDT,DEXE
DSYNC,USDC,USDT,DSYNC
DSYNC,USDT,USDC,DSYNC
DSYNC,USDT,USDC,DSYNC
DSYNC,USDC,USDT,DSYNC
IOTA,USDC,USDT,IOTA
IOTA,USDT,USDC,IOTA
IOTA,USDT,USDC,IOTA
IOTA,USDC,USDT,IOTA
LUNC,USDC,USDT,LUNC
LUNC,USDT,USDC,LUNC
LUNC,USDT,USDC,LUNC
LUNC,USDC,USDT,LUNC
POL,USDC,USDT,POL
POL,USDT,USDC,POL
POL,USDT,USDC,POL
POL,USDC,USDT,POL
TAG,USD1,USDT,TAG
TAG,USDT,USD1,TAG
TAG,USDT,USD1,TAG
TAG,USD1,USDT,TAG
BTC,A,USDC,BTC
BTC,USDC,A,BTC
BTC,A,USDT,BTC
BTC,USDT,A,BTC
BTC,USDT,USDC,BTC
BTC,USDC,USDT,BTC
BTC,USDT,A,BTC
BTC,A,USDT,BTC
BTC,USDT,ADA,BTC
BTC,ADA,USDT,BTC
BTC,USDT,EUR,BTC
BTC,EUR,USDT,BTC
BTC,USDT,ANKR,BTC
BTC,ANKR,USDT,BTC
BTC,USDT,ETH,BTC
BTC,ETH,USDT,BTC
BTC,USDT,ATOM,BTC
BTC,ATOM,USDT,BTC
BTC,USDT,USD1,BTC
BTC,USD1,USDT,BTC
BTC,USDT,BCH,BTC
BTC,BCH,USDT,BTC
BTC,USDT,BDX,BTC
BTC,BDX,USDT,BTC
BTC,USDT,SOL,BTC
BTC,SOL,USDT,BTC
BTC,USDT,BRL,BTC
BTC,BRL,USDT,BTC
BTC,USDT,MX,BTC
BTC,MX,USDT,BTC
BTC,USDT,XRP,BTC
BTC,XRP,USDT,BTC
BTC,USDT,WBTC,BTC
BTC,WBTC,USDT,BTC
BTC,USDT,XLM,BTC
BTC,XLM,USDT,BTC
BTC,USDT,DEXE,BTC
BTC,DEXE,USDT,BTC
BTC,USDT,QTUM,BTC
BTC,QTUM,USDT,BTC
BTC,USDT,DASH,BTC
BTC,DASH,USDT,BTC
BTC,USDT,NEO,BTC
BTC,NEO,USDT,BTC
BTC,USDT,ETC,BTC
BTC,ETC,USDT,BTC
BTC,USDT,USDF,BTC
BTC,USDF,USDT,BTC
BTC,USDT,OMG,BTC
BTC,OMG,USDT,BTC
BTC,USDT,IP,BTC
BTC,IP,USDT,BTC
BTC,USDT,TRX,BTC
BTC,TRX,USDT,BTC
BTC,USDT,ONT,BTC
BTC,ONT,USDT,BTC
BTC,USDT,USDE,BTC
BTC,USDE,USDT,BTC
BTC,USDT,DOT,BTC
BTC,DOT,USDT,BTC
BTC,USDT,LTC,BTC
BTC,LTC,USDT,BTC
BTC,USDC,USDT,BTC
BTC,USDT,USDC,BTC
BTC,USDC,A,BTC
BTC,A,USDC,BTC
BTC,USDC,ADA,BTC
BTC,ADA,USDC,BTC
BTC,USDC,EUR,BTC
BTC,EUR,USDC,BTC
BTC,USDC,ETH,BTC
BTC,ETH,USDC,BTC
BTC,USDC,ATOM,BTC
BTC,ATOM,USDC,BTC
BTC,USDC,BCH,BTC
BTC,BCH,USDC,BTC
BTC,USDC,SOL,BTC
BTC,SOL,USDC,BTC
BTC,USDC,BRL,BTC
BTC,BRL,USDC,BTC
BTC,USDC,MX,BTC
BTC,MX,USDC,BTC
BTC,USDC,XRP,BTC
BTC,XRP,USDC,BTC
BTC,USDC,USDF,BTC
BTC,USDF,USDC,BTC
BTC,USDC,XLM,BTC
BTC,XLM,USDC,BTC
BTC,USDC,WBTC,BTC
BTC,WBTC,USDC,BTC
BTC,USDC,QTUM,BTC
BTC,QTUM,USDC,BTC
BTC,USDC,DASH,BTC
BTC,DASH,USDC,BTC
BTC,USDC,NEO,BTC
BTC,NEO,USDC,BTC
BTC,USDC,ETC,BTC
BTC,ETC,USDC,BTC
BTC,USDC,IP,BTC
BTC,IP,USDC,BTC
BTC,USDC,TRX,BTC
BTC,TRX,USDC,BTC
BTC,USDC,DOT,BTC
BTC,DOT,USDC,BTC
BTC,USDC,LTC,BTC
BTC,LTC,USDC,BTC
BTC,ADA,USDT,BTC
BTC,USDT,ADA,BTC
BTC,ADA,USDC,BTC
BTC,USDC,ADA,BTC
BTC,ADA,EUR,BTC
BTC,EUR,ADA,BTC
BTC,EUR,ADA,BTC
BTC,ADA,EUR,BTC
BTC,EUR,USDC,BTC
BTC,USDC,EUR,BTC
BTC,EUR,USDT,BTC
BTC,USDT,EUR,BTC
BTC,EUR,ETH,BTC
BTC,ETH,EUR,BTC
BTC,EUR,SOL,BTC
BTC,SOL,EUR,BTC
BTC,EUR,LTC,BTC
BTC,LTC,EUR,BTC
BTC,EUR,XRP,BTC
BTC,XRP,EUR,BTC
BTC,EUR,MX,BTC
BTC,MX,EUR,BTC
BTC,ANKR,USDT,BTC
BTC,USDT,ANKR,BTC
BTC,ATOM,USDC,BTC
BTC,USDC,ATOM,BTC
BTC,ATOM,USDT,BTC
BTC,USDT,ATOM,BTC
BTC,BCH,USDC,BTC
BTC,USDC,BCH,BTC
BTC,BCH,USDT,BTC
BTC,USDT,BCH,BTC
BTC,BDX,USDT,BTC
BTC,USDT,BDX,BTC
BTC,BRL,SOL,BTC
BTC,SOL,BRL,BTC
BTC,BRL,USDT,BTC
BTC,USDT,BRL,BTC
BTC,BRL,USDC,BTC
BTC,USDC,BRL,BTC
BTC,BRL,ETH,BTC
BTC,ETH,BRL,BTC
BTC,BRL,XRP,BTC
BTC,XRP,BRL,BTC
BTC,BRL,MX,BTC
BTC,MX,BRL,BTC
BTC,XRP,ETH,BTC
BTC,ETH,XRP,BTC
BTC,XRP,BRL,BTC
BTC,BRL,XRP,BTC
BTC,XRP,USDT,BTC
BTC,USDT,XRP,BTC
BTC,XRP,USDC,BTC
BTC,USDC,XRP,BTC
BTC,XRP,USD1,BTC
BTC,USD1,XRP,BTC
BTC,XRP,EUR,BTC
BTC,EUR,XRP,BTC
BTC,XRP,USDE,BTC
BTC,USDE,XRP,BTC
BTC,SOL,BRL,BTC
BTC,BRL,SOL,BTC
BTC,SOL,USDT,BTC
BTC,USDT,SOL,BTC
BTC,SOL,USDC,BTC
BTC,USDC,SOL,BTC
BTC,SOL,EUR,BTC
BTC,EUR,SOL,BTC
BTC,SOL,USDE,BTC
BTC,USDE,SOL,BTC
BTC,SOL,USD1,BTC
BTC,USD1,SOL,BTC
BTC,ETH,USDT,BTC
BTC,USDT,ETH,BTC
BTC,ETH,USDC,BTC
BTC,USDC,ETH,BTC
BTC,ETH,BRL,BTC
BTC,BRL,ETH,BTC
BTC,ETH,XRP,BTC
BTC,XRP,ETH,BTC
BTC,ETH,MX,BTC
BTC,MX,ETH,BTC
BTC,ETH,EUR,BTC
BTC,EUR,ETH,BTC
BTC,ETH,USDF,BTC
BTC,USDF,ETH,BTC
BTC,ETH,IP,BTC
BTC,IP,ETH,BTC
BTC,ETH,USDE,BTC
BTC,USDE,ETH,BTC
BTC,ETH,USD1,BTC
BTC,USD1,ETH,BTC
BTC,MX,ETH,BTC
BTC,ETH,MX,BTC
BTC,MX,BRL,BTC
BTC,BRL,MX,BTC
BTC,MX,USDT,BTC
BTC,USDT,MX,BTC
