base1,quote1,symbol1,step1,minQty1,minNotional1,spot1,market1,qoq1,quotePrec1,base2,quote2,symbol2,step2,minQty2,minNotional2,spot2,market2,qoq2,quotePrec2,base3,quote3,symbol3,step3,minQty3,minNotional3,spot3,market3,qoq3,quotePrec3,cycle_leg1,cycle_leg2,cycle_leg3,min_start_usdt,trade_amount_ok,reason
FTT,USDC,FTTUSDC,0,0.000000000000,0.000000000000,1,0,0,4,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,FTT,USDT,FTTUSDT,0,0.000000000000,0.000000000000,1,1,0,4,,,,0.000000,0,market not allowed
GAIB,USDC,GAIBUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,GAIB,USDT,GAIBUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
GHIBLI,USDC,GHIBLIUSDC,0,0.000000000000,0.000000000000,0,1,0,7,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,GHIBLI,USDT,GHIBLIUSDT,0,0.000000000000,0.000000000000,1,1,0,7,,,,0.000000,0,spot not allowed
GIGGLE,USDC,GIGGLEUSDC,0,0.000000000000,0.000000000000,0,1,0,2,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,GIGGLE,USDT,GIGGLEUSDT,0,0.000000000000,0.000000000000,1,1,0,2,,,,0.000000,0,spot not allowed
GRIFFAIN,USDC,GRIFFAINUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,GRIFFAIN,USDT,GRIFFAINUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
GUN,USDC,GUNUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,GUN,USDT,GUNUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
H,USDC,HUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,H,USDT,HUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
HEMI,USDC,HEMIUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HEMI,USDT,HEMIUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
HOLO,USDC,HOLOUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HOLO,USDT,HOLOUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
HOME,USDC,HOMEUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HOME,USDT,HOMEUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
HUMA,USDC,HUMAUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HUMA,USDT,HUMAUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
HYPE,USDC,HYPEUSDC,0,0.000000000000,0.000000000000,0,1,0,2,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HYPE,USDT,HYPEUSDT,0,0.000000000000,0.000000000000,1,1,0,2,,,,0.000000,0,spot not allowed
HYPER,USDC,HYPERUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,HYPER,USDT,HYPERUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
IDEX,USDC,IDEXUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,IDEX,USDT,IDEXUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
IDOL,USDC,IDOLUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,IDOL,USDT,IDOLUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
INIT,USDC,INITUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,INIT,USDT,INITUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
IP,USDC,IPUSDC,0,0.000000000000,0.000000000000,0,1,0,3,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,IP,USDT,IPUSDT,0,0.000000000000,0.000000000000,1,1,0,3,,,,0.000000,0,spot not allowed
IRYS,USDC,IRYSUSDC,0,0.000000000000,0.000000000000,0,1,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,IRYS,USDT,IRYSUSDT,0,0.000000000000,0.000000000000,1,1,0,5,,,,0.000000,0,spot not allowed
JASMY,USDC,JASMYUSDC,0,0.000000000000,0.000000000000,1,0,0,6,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,JASMY,USDT,JASMYUSDT,0,0.000000000000,0.000000000000,1,1,0,6,,,,0.000000,0,market not allowed
KAIA,USDC,KAIAUSDC,0,0.000000000000,0.000000000000,1,0,0,5,USDC,USDT,USDCUSDT,0,0.000000000000,0.000000000000,1,1,0,4,KAIA,USDT,KAIAUSDT,0,0.000000000000,0.000000000000,0,1,0,5,,,,0.000000,0,spot not allowed
KAS,USD1,KASUSD1,0,0.000000000000,0.000000000000,0,1,0,6,USD1,USDT,USD1USDT,0,0.000000000000,0.000000000000,1,1,0,4,KAS,USDT,KASUSDT,0,0.000000000000,0.000000000000,1,1,0,6,,,,0.000000,0,spot not allowed
KAS,USDE,KASUSDE,0,0.000000000000,0.000000000000,0,1,0,6,USDE,USDT,USDEUSDT,0,0.000000000000,0.000000000000,0,1,0,4,KAS,USDT,KASUSDT,0,0.000000000000,0.000000000000,1,1,0,6,,,,0.000000,0,spot not allowed
