start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to
USDT,DEXE,BTC,USDT,DEXEUSDT,BUY,ASK,USDT,DEXE,DEXEBTC,SELL,BID,DEXE,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,EUR,DOGE,USDT,EURUSDT,BUY,ASK,USDT,EUR,DOGEEUR,BUY,ASK,EUR,DOGE,DOGEUSDT,SELL,BID,DOGE,USDT
USDT,DOGE,EUR,USDT,DOGEUSDT,BUY,ASK,USDT,DOGE,DOGEEUR,SELL,BID,DOGE,EUR,EURUSDT,SELL,BID,EUR,USDT
USDT,USDE,DOGE,USDT,USDEUSDT,BUY,ASK,USDT,USDE,DOGEUSDE,BUY,ASK,USDE,DOGE,DOGEUSDT,SELL,BID,DOGE,USDT
USDT,DOGE,USDE,USDT,DOGEUSDT,BUY,ASK,USDT,DOGE,DOGEUSDE,SELL,BID,DOGE,USDE,USDEUSDT,SELL,BID,USDE,USDT
USDT,USDC,DOGS,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DOGSUSDC,BUY,ASK,USDC,DOGS,DOGSUSDT,SELL,BID,DOGS,USDT
USDT,DOGS,USDC,USDT,DOGSUSDT,BUY,ASK,USDT,DOGS,DOGSUSDC,SELL,BID,DOGS,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,DOLO,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DOLOUSDC,BUY,ASK,USDC,DOLO,DOLOUSDT,SELL,BID,DOLO,USDT
USDT,DOLO,USDC,USDT,DOLOUSDT,BUY,ASK,USDT,DOLO,DOLOUSDC,SELL,BID,DOLO,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,DOOD,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DOODUSDC,BUY,ASK,USDC,DOOD,DOODUSDT,SELL,BID,DOOD,USDT
USDT,DOOD,USDC,USDT,DOODUSDT,BUY,ASK,USDT,DOOD,DOODUSDC,SELL,BID,DOOD,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,BTC,DOT,USDT,BTCUSDT,BUY,ASK,USDT,BTC,DOTBTC,BUY,ASK,BTC,DOT,DOTUSDT,SELL,BID,DOT,USDT
USDT,DOT,BTC,USDT,DOTUSDT,BUY,ASK,USDT,DOT,DOTBTC,SELL,BID,DOT,BTC,BTCUSDT,SELL,BID,BTC,USDT
USDT,USDC,DOT,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DOTUSDC,BUY,ASK,USDC,DOT,DOTUSDT,SELL,BID,DOT,USDT
USDT,DOT,USDC,USDT,DOTUSDT,BUY,ASK,USDT,DOT,DOTUSDC,SELL,BID,DOT,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,DSYNC,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DSYNCUSDC,BUY,ASK,USDC,DSYNC,DSYNCUSDT,SELL,BID,DSYNC,USDT
USDT,DSYNC,USDC,USDT,DSYNCUSDT,BUY,ASK,USDT,DSYNC,DSYNCUSDC,SELL,BID,DSYNC,USDC,USDCUSDT,SELL,BID,USDC,USDT
USDT,USDC,DYDX,USDT,USDCUSDT,BUY,ASK,USDT,USDC,DYDXUSDC,BUY,ASK,USDC,DYDX,DYDXUSDT,SELL,BID,DYDX,USDT
