start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to
USDT,USDC,APT,USDT,USDC-USDT,BUY,ASK,USDT,USDC,APT-USDC,BUY,ASK,USDC,APT,APT-USDT,SELL,BID,APT,USDT
USDT,APT,USDC,USDT,APT-USDT,BUY,ASK,USDT,APT,APT-USDC,SELL,BID,APT,USDC,USDC-USDT,SELL,BID,USDC,USDT
USDT,APT,EUR,USDT,APT-USDT,BUY,ASK,USDT,APT,APT-EUR,SELL,BID,APT,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,APT,USDT,USDT-EUR,SELL,BID,USDT,EUR,APT-EUR,BUY,ASK,EUR,APT,APT-USDT,SELL,BID,APT,USDT
USDT,APT,USD,USDT,APT-USDT,BUY,ASK,USDT,APT,APT-USD,SELL,BID,APT,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,APT,USDT,USDT-USD,SELL,BID,USDT,USD,APT-USD,BUY,ASK,USD,APT,APT-USDT,SELL,BID,APT,USDT
USDT,AR,USD,USDT,AR-USDT,BUY,ASK,USDT,AR,AR-USD,SELL,BID,AR,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,AR,USDT,USDT-USD,SELL,BID,USDT,USD,AR-USD,BUY,ASK,USD,AR,AR-USDT,SELL,BID,AR,USDT
USDT,ARB,EUR,USDT,ARB-USDT,BUY,ASK,USDT,ARB,ARB-EUR,SELL,BID,ARB,EUR,USDT-EUR,BUY,ASK,EUR,USDT
USDT,EUR,ARB,USDT,USDT-EUR,SELL,BID,USDT,EUR,ARB-EUR,BUY,ASK,EUR,ARB,ARB-USDT,SELL,BID,ARB,USDT
USDT,ARB,USD,USDT,ARB-USDT,BUY,ASK,USDT,ARB,ARB-USD,SELL,BID,ARB,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ARB,USDT,USDT-USD,SELL,BID,USDT,USD,ARB-USD,BUY,ASK,USD,ARB,ARB-USDT,SELL,BID,ARB,USDT
USDT,ARG,USD,USDT,ARG-USDT,BUY,ASK,USDT,ARG,ARG-USD,SELL,BID,ARG,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ARG,USDT,USDT-USD,SELL,BID,USDT,USD,ARG-USD,BUY,ASK,USD,ARG,ARG-USDT,SELL,BID,ARG,USDT
USDT,ARKM,USD,USDT,ARKM-USDT,BUY,ASK,USDT,ARKM,ARKM-USD,SELL,BID,ARKM,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ARKM,USDT,USDT-USD,SELL,BID,USDT,USD,ARKM-USD,BUY,ASK,USD,ARKM,ARKM-USDT,SELL,BID,ARKM,USDT
USDT,ASP,USD,USDT,ASP-USDT,BUY,ASK,USDT,ASP,ASP-USD,SELL,BID,ASP,USD,USDT-USD,BUY,ASK,USD,USDT
USDT,USD,ASP,USDT,USDT-USD,SELL,BID,USDT,USD,ASP-USD,BUY,ASK,USD,ASP,ASP-USDT,SELL,BID,ASP,USDT
