start,mid1,mid2,end,leg1_symbol,leg1_action,leg1_price,leg1_from,leg1_to,leg2_symbol,leg2_action,leg2_price,leg2_from,leg2_to,leg3_symbol,leg3_action,leg3_price,leg3_from,leg3_to,start_amt,end_amt,fail_reason,leg1_lot_sz,leg2_lot_sz,leg3_lot_sz,leg1_min_sz,leg2_min_sz,leg3_min_sz,leg1_tick_sz,leg2_tick_sz,leg3_tick_sz,leg1_max_mkt_amt,leg2_max_mkt_amt,leg3_max_mkt_amt,leg1_max_mkt_sz,leg2_max_mkt_sz,leg3_max_mkt_sz
USDT,USD,AIXBT,USDT,USDT-USD,SELL,BID,USDT,USD,AIXBT-USD,BUY,ASK,USD,AIXBT,AIXBT-USDT,SELL,BID,AIXBT,USDT,25.00000000,24.92953368,,0.0001,0.001,0.001,1,10,10,0.0001,0.00001,0.00001,370000,1300,17000,1000000,1000000,1000000
USDT,ALGO,EUR,USDT,ALGO-USDT,BUY,ASK,USDT,ALGO,ALGO-EUR,SELL,BID,ALGO,EUR,USDT-EUR,BUY,ASK,EUR,USDT,25.00000000,24.97880000,,0.000001,0.001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,4000,150000,1000000,1000000,1000000
USDT,EUR,ALGO,USDT,USDT-EUR,SELL,BID,USDT,EUR,ALGO-EUR,BUY,ASK,EUR,ALGO,ALGO-USDT,SELL,BID,ALGO,USDT,25.00000000,24.91343740,,0.0001,0.001,0.000001,1,10,10,0.0001,0.0001,0.0001,150000,4000,1000000,1000000,1000000,1000000
USDT,ALGO,USD,USDT,ALGO-USDT,BUY,ASK,USDT,ALGO,ALGO-USD,SELL,BID,ALGO,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.98550000,,0.000001,0.000001,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,2800,370000,1000000,1000000,1000000
USDT,USD,ALGO,USDT,USDT-USD,SELL,BID,USDT,USD,ALGO-USD,BUY,ASK,USD,ALGO,ALGO-USDT,SELL,BID,ALGO,USDT,25.00000000,24.94615774,,0.0001,0.000001,0.000001,1,10,10,0.0001,0.0001,0.0001,370000,2800,1000000,1000000,1000000,1000000
USDT,ALLO,USD,USDT,ALLO-USDT,BUY,ASK,USDT,ALLO,ALLO-USD,SELL,BID,ALLO,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.93700000,,0.01,0.01,0.0001,10,10,1,0.0001,0.0001,0.0001,1000000,1000000,370000,1000000,1000000,1000000
USDT,USD,ALLO,USDT,USDT-USD,SELL,BID,USDT,USD,ALLO-USD,BUY,ASK,USD,ALLO,ALLO-USDT,SELL,BID,ALLO,USDT,25.00000000,24.89643000,,0.0001,0.01,0.01,1,10,10,0.0001,0.0001,0.0001,370000,1000000,1000000,1000000,1000000,1000000
USDT,ANIME,USD,USDT,ANIME-USDT,BUY,ASK,USDT,ANIME,ANIME-USD,SELL,BID,ANIME,USD,USDT-USD,BUY,ASK,USD,USDT,25.00000000,24.93680000,,0.01,0.01,0.0001,100,100,1,0.000001,0.000001,0.0001,1000000,1100,370000,1000000,1000000,1000000
USDT,USD,ANIME,USDT,USDT-USD,SELL,BID,USDT,USD,ANIME-USD,BUY,ASK,USD,ANIME,ANIME-USDT,SELL,BID,ANIME,USDT,25.00000000,24.90274140,,0.0001,0.01,0.01,1,100,100,0.0001,0.000001,0.000001,370000,1100,1000000,1000000,1000000,1000000
USDT,APE,EUR,USDT,APE-USDT,BUY,ASK,USDT,APE,APE-EUR,SELL,BID,APE,EUR,USDT-EUR,BUY,ASK,EUR,USDT,25.00000000,24.95050000,,0.000001,0.0001,0.0001,1,1,1,0.0001,0.0001,0.0001,1000000,4000,150000,1000000,1000000,1000000
