base1,quote1,base2,quote2,base3,quote3,symbol1,symbol2,symbol3
PENGU,USDC,USDC,USDT,PENGU,USDT,PENGU-USDC,USDC-USDT,PENGU-USDT
PENGU,USDT,USDT,USD,PENGU,USD,PENGU-USDT,USDT-USD,PENGU-USD
PEOPLE,USDT,USDT,USD,PEOPLE,USD,PEOPLE-USDT,USDT-USD,PEOPLE-USD
PEPE,USDC,USDC,BRL,PEPE,BRL,PEPE-USDC,USDC-BRL,PEPE-BRL
PEPE,USDC,USDC,USDT,PEPE,USDT,PEPE-USDC,USDC-USDT,PEPE-USDT
PEPE,USDT,USDT,BRL,PEPE,BRL,PEPE-USDT,USDT-BRL,PEPE-BRL
PEPE,USDT,USDT,USD,PEPE,USD,PEPE-USDT,USDT-USD,PEPE-USD
PHA,USDT,USDT,USD,PHA,USD,PHA-USDT,USDT-USD,PHA-USD
PI,USDC,USDC,BRL,PI,BRL,PI-USDC,USDC-BRL,PI-BRL
PI,USDC,USDC,EUR,PI,EUR,PI-USDC,USDC-EUR,PI-EUR
PI,USDC,USDC,USDT,PI,USDT,PI-USDC,USDC-USDT,PI-USDT
PI,USDT,USDT,BRL,PI,BRL,PI-USDT,USDT-BRL,PI-BRL
PI,USDT,USDT,EUR,PI,EUR,PI-USDT,USDT-EUR,PI-EUR
PI,USDT,USDT,TRY,PI,TRY,PI-USDT,USDT-TRY,PI-TRY
PI,USDT,USDT,USD,PI,USD,PI-USDT,USDT-USD,PI-USD
PIXEL,USDT,USDT,USD,PIXEL,USD,PIXEL-USDT,USDT-USD,PIXEL-USD
PNUT,USDT,USDT,USD,PNUT,USD,PNUT-USDT,USDT-USD,PNUT-USD
POL,USDT,USDT,USD,POL,USD,POL-USDT,USDT-USD,POL-USD
POR,USDT,USDT,USD,POR,USD,POR-USDT,USDT-USD,POR-USD
PRCL,USDT,USDT,USD,PRCL,USD,PRCL-USDT,USDT-USD,PRCL-USD
PROMPT,USDT,USDT,USD,PROMPT,USD,PROMPT-USDT,USDT-USD,PROMPT-USD
PROVE,USDT,USDT,USD,PROVE,USD,PROVE-USDT,USDT-USD,PROVE-USD
PUMP,USDT,USDT,USD,PUMP,USD,PUMP-USDT,USDT-USD,PUMP-USD
PYTH,USDT,USDT,USD,PYTH,USD,PYTH-USDT,USDT-USD,PYTH-USD
QTUM,USDT,USDT,USD,QTUM,USD,QTUM-USDT,USDT-USD,QTUM-USD
RAY,USDT,USDT,USD,RAY,USD,RAY-USDT,USDT-USD,RAY-USD
RDNT,USDT,USDT,USD,RDNT,USD,RDNT-USDT,USDT-USD,RDNT-USD
RENDER,USDT,USDT,USD,RENDER,USD,RENDER-USDT,USDT-USD,RENDER-USD
RESOLV,USDT,USDT,USD,RESOLV,USD,RESOLV-USDT,USDT-USD,RESOLV-USD
RIO,USDT,USDT,USD,RIO,USD,RIO-USDT,USDT-USD,RIO-USD
