base1,quote1,base2,quote2,base3,quote3
BTC,USDT,XYO,USDT,XYO,BTC
BTC,USDT,VSYS,USDT,VSYS,BTC
BTC,USDT,XTZ,USDT,XTZ,BTC
BTC,USDT,WAVES,USDT,WAVES,BTC
BTC,USD1,USD1,USDT,BTC,USDT
BTC,USD1,XRP,USD1,XRP,BTC
ICP,BTC,ICP,USDT,BTC,USDT
KNC,BTC,KNC,USDT,BTC,USDT
PAXG,BTC,PAXG,USDT,BTC,USDT
BTC,USDG,USDG,USDT,BTC,USDT
BULLA,USD1,USD1,USDT,BULLA,USDT
CSPR,ETH,ETH,USDT,CSPR,USDT
DAG,ETH,ETH,USDT,DAG,USDT
ETH,DAI,ETH,USDT,USDT,DAI
DASH,ETH,ETH,USDT,DASH,USDT
DGB,ETH,ETH,USDT,DGB,USDT
DOGE,USDC,USDT,USDC,DOGE,USDT
DOGE,KCS,KCS,USDT,DOGE,USDT
DOGE,KCS,KCS,USDC,DOGE,USDC
SHIB,DOGE,SHIB,USDT,DOGE,USDT
SHIB,DOGE,SHIB,USDC,DOGE,USDC
DOGE,USD1,USD1,USDT,DOGE,USDT
DOT,KCS,KCS,USDC,DOT,USDC
DOT,KCS,KCS,USDT,DOT,USDT
DOT,USDC,USDT,USDC,DOT,USDT
DYP,ETH,ETH,USDT,DYP,USDT
EGL1,USD1,USD1,USDT,EGL1,USDT
ENA,USDC,USDT,USDC,ENA,USDT
ENJ,ETH,ETH,USDT,ENJ,USDT
ETC,ETH,ETH,USDC,ETC,USDC
ETC,ETH,ETH,USDT,ETC,USDT
ETC,USDC,USDT,USDC,ETC,USDT
STORJ,ETH,STORJ,USDT,ETH,USDT
SNX,ETH,SNX,USDT,ETH,USDT
TEL,ETH,TEL,USDT,ETH,USDT
TEL,ETH,TEL,USDC,ETH,USDC
ETH,USDC,XRP,USDC,XRP,ETH
ETH,USDC,XLM,USDC,XLM,ETH
ETH,USDC,ZIL,USDC,ZIL,ETH
ETH,USDC,USDT,USDC,ETH,USDT
ETH,USDC,XMR,USDC,XMR,ETH
MANA,ETH,MANA,USDT,ETH,USDT
TRAC,ETH,TRAC,USDT,ETH,USDT
ONT,ETH,ONT,USDT,ETH,USDT
MOVR,ETH,MOVR,USDT,ETH,USDT
ETH,USD1,XRP,USD1,XRP,ETH
ETH,USD1,USD1,USDT,ETH,USDT
ICX,ETH,ICX,USDT,ETH,USDT
KNC,ETH,KNC,USDT,ETH,USDT
ETH,USDT,XYO,USDT,XYO,ETH
ETH,USDT,XMR,USDT,XMR,ETH
ETH,USDT,XDC,USDT,XDC,ETH
ETH,USDT,VET,USDT,VET,ETH
ETH,USDT,XRP,USDT,XRP,ETH
ETH,USDT,XLM,USDT,XLM,ETH
ETH,USDT,ZIL,USDT,ZIL,ETH
LTC,ETH,LTC,USDT,ETH,USDT
LTC,ETH,LTC,USDC,ETH,USDC
FET,ETH,FET,USDC,ETH,USDC
FET,ETH,FET,USDT,ETH,USDT
KCS,ETH,KCS,USDC,ETH,USDC
KCS,ETH,KCS,USDT,ETH,USDT
KCS,ETH,LTC,KCS,LTC,ETH
KCS,ETH,XRP,KCS,XRP,ETH
LYX,ETH,LYX,USDT,ETH,USDT
IOTX,ETH,IOTX,USDT,ETH,USDT
ETH,EUR,USDC,EUR,ETH,USDC
ETH,EUR,USDT,EUR,ETH,USDT
TRX,ETH,TRX,USDC,ETH,USDC
TRX,ETH,TRX,USDT,ETH,USDT
IOST,ETH,IOST,USDT,ETH,USDT
USDC,EUR,USDT,USDC,USDT,EUR
FARTCOIN,USDC,USDT,USDC,FARTCOIN,USDT
FET,USDC,USDT,USDC,FET,USDT
FLOKI,USDC,USDT,USDC,FLOKI,USDT
FLR,USDC,USDT,USDC,FLR,USDT
FLUX,USDC,USDT,USDC,FLUX,USDT
GMT,USDC,USDT,USDC,GMT,USDT
HBAR,USDC,USDT,USDC,HBAR,USDT
HYPE,USDC,USDT,USDC,HYPE,USDT
HYPE,KCS,KCS,USDT,HYPE,USDT
HYPE,KCS,KCS,USDC,HYPE,USDC
INJ,USDC,USDT,USDC,INJ,USDT
JASMY,USDC,USDT,USDC,JASMY,USDT
JUP,USDC,USDT,USDC,JUP,USDT
KAS,USDC,USDT,USDC,KAS,USDT
SOL,KCS,SOL,USDC,KCS,USDC
SOL,KCS,SOL,USDT,KCS,USDT
SUI,KCS,SUI,USDT,KCS,USDT
SUI,KCS,SUI,USDC,KCS,USDC
KCS,USDC,USDT,USDC,KCS,USDT
KCS,USDC,XRP,USDC,XRP,KCS
LTC,KCS,LTC,USDC,KCS,USDC
LTC,KCS,LTC,USDT,KCS,USDT
PEPE,KCS,PEPE,USDC,KCS,USDC
PEPE,KCS,PEPE,USDT,KCS,USDT
KCS,USDT,XRP,USDT,XRP,KCS
KLV,TRX,TRX,USDT,KLV,USDT
LDO,USDC,USDT,USDC,LDO,USDT
LINK,USDC,USDT,USDC,LINK,USDT
LTC,USDC,USDT,USDC,LTC,USDT
LUNA,USDC,USDT,USDC,LUNA,USDT
LUNC,USDC,USDT,USDC,LUNC,USDT
MOODENG,USDC,USDT,USDC,MOODENG,USDT
NAKA,USDC,USDT,USDC,NAKA,USDT
NEAR,USDC,USDT,USDC,NEAR,USDT
NFT,TRX,TRX,USDT,NFT,USDT
ONDO,USDC,USDT,USDC,ONDO,USDT
OP,USDC,USDT,USDC,OP,USDT
PEPE,USDC,USDT,USDC,PEPE,USDT
RUNE,USDC,USDT,USDC,RUNE,USDT
S,USDC,USDT,USDC,S,USDT
SHIB,USDC,USDT,USDC,SHIB,USDT
SOL,USDC,USDT,USDC,SOL,USDT
SOL,USD1,USD1,USDT,SOL,USDT
SUI,USDC,USDT,USDC,SUI,USDT
TAO,USDC,USDT,USDC,TAO,USDT
TEL,USDC,USDT,USDC,TEL,USDT
TON,USDC,USDT,USDC,TON,USDT
TRUMP,USDC,USDT,USDC,TRUMP,USDT
TRUMP,USD1,USD1,USDT,TRUMP,USDT
