base1,quote1,base2,quote2,base3,quote3
BNB,EUR,USDC,EUR,BNB,USDC
BNB,USD,USDT,USD,BNB,USDT
BNB,USDC,USDC,USDT,BNB,USDT
BNT,USD,USDT,USD,BNT,USDT
BOME,USD,USDT,USD,BOME,USDT
BONK,USD,USDT,USD,BONK,USDT
ETH,BRL,ETH,USDC,USDC,BRL
ETH,BRL,ETH,USDT,USDT,BRL
PEPE,BRL,PEPE,USDT,USDT,BRL
PEPE,BRL,PEPE,USDC,USDC,BRL
USDC,BRL,USDC,USDT,USDT,BRL
USDC,BRL,XRP,USDC,XRP,BRL
SOL,BRL,SOL,USDT,USDT,BRL
SOL,BRL,SOL,USDC,USDC,BRL
TRUMP,BRL,TRUMP,USDT,USDT,BRL
USDT,BRL,XRP,USDT,XRP,BRL
PI,BRL,PI,USDC,USDC,BRL
PI,BRL,PI,USDT,USDT,BRL
BTC,BRL,BTC,USDC,USDC,BRL
BTC,BRL,SOL,BTC,SOL,BRL
BTC,BRL,BTC,USDT,USDT,BRL
BTC,BRL,ETH,BTC,ETH,BRL
BTC,EUR,USDT,EUR,BTC,USDT
BTC,EUR,SOL,EUR,SOL,BTC
BTC,EUR,USDC,EUR,BTC,USDC
BTC,USDC,USDC,USDT,BTC,USDT
BTC,USD,USDT,USD,BTC,USDT
OKB,BTC,OKB,USDT,BTC,USDT
BTC,TRY,USDT,TRY,BTC,USDT
ETH,BTC,ETH,EUR,BTC,EUR
ETH,BTC,ETH,USDC,BTC,USDC
ETH,BTC,ETH,USD,BTC,USD
ETH,BTC,ETH,TRY,BTC,TRY
ETH,BTC,ETH,USDT,BTC,USDT
SOL,BTC,SOL,TRY,BTC,TRY
SOL,BTC,SOL,USDT,BTC,USDT
SOL,BTC,SOL,USDC,BTC,USDC
SOL,BTC,SOL,USD,BTC,USD
CAT,USD,USDT,USD,CAT,USDT
CATI,USD,USDT,USD,CATI,USDT
CELO,USD,USDT,USD,CELO,USDT
CELR,USD,USDT,USD,CELR,USDT
CETUS,USD,USDT,USD,CETUS,USDT
CFG,USD,USDT,USD,CFG,USDT
CFX,USD,USDT,USD,CFX,USDT
CHZ,USD,USDT,USD,CHZ,USDT
CHZ,EUR,USDT,EUR,CHZ,USDT
CITY,USD,USDT,USD,CITY,USDT
COMP,EUR,USDT,EUR,COMP,USDT
COMP,USD,USDT,USD,COMP,USDT
CORE,USD,USDT,USD,CORE,USDT
CRO,EUR,USDT,EUR,CRO,USDT
CRO,USD,USDT,USD,CRO,USDT
CRV,EUR,USDT,EUR,CRV,USDT
CRV,USD,USDT,USD,CRV,USDT
CSPR,USD,USDT,USD,CSPR,USDT
CTC,USD,USDT,USD,CTC,USDT
CVC,USD,USDT,USD,CVC,USDT
CVX,USD,USDT,USD,CVX,USDT
CXT,USD,USDT,USD,CXT,USDT
DAI,USD,USDT,USD,DAI,USDT
DAO,USD,USDT,USD,DAO,USDT
DASH,USD,USDT,USD,DASH,USDT
DEGEN,USD,USDT,USD,DEGEN,USDT
DGB,USD,USDT,USD,DGB,USDT
