2026/04/10 08:58:11 [Main] log file: logs/arb_20260440_085811.log
2026/04/10 08:58:11 pprof on http://localhost:6060/debug/pprof/
2026/04/10 08:58:13 [KuCoin WS 0] connected
2026/04/10 08:58:13 [KuCoin] started with 1 WS
2026/04/10 08:58:13 [Main] KuCoinCollector started
2026/04/10 08:58:50 [EXEC CMP] USDT→DOT→KCS | est=-0.6670% | ideal=-0.3684% | rounded=-0.3770% | strict=-0.6790% | tails=-0.6774% | tail_usdt=0.00015790 | tails_map={USDT=0.00015790}
2026/04/10 08:58:51 [EXEC CMP] USDT→LYX→ETH | est=-1.6025% | ideal=-1.3068% | rounded=-1.3088% | strict=-1.6050% | tails=-1.6040% | tail_usdt=0.00010065 | tails_map={USDT=0.00010065}
2026/04/10 08:58:51 [EXEC CMP] USDT→LINK→BTC | est=-0.3708% | ideal=-0.0713% | rounded=-0.0836% | strict=-0.3925% | tails=-0.3845% | tail_usdt=0.00080028 | tails_map={USDT=0.00080028}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→DASH | est=-0.4535% | ideal=-0.1542% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4955% | tail_usdt=0.00045100 | tails_map={USDT=0.00045100}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→AVAX | est=-0.3862% | ideal=-0.0868% | rounded=-0.1000% | strict=-0.4000% | tails=-0.3956% | tail_usdt=0.00044100 | tails_map={USDT=0.00044100}
2026/04/10 08:58:51 [EXEC CMP] USDT→LYX→ETH | est=-1.1453% | ideal=-0.8482% | rounded=-0.8497% | strict=-1.1486% | tails=-1.1476% | tail_usdt=0.00010096 | tails_map={USDT=0.00010096}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→DASH | est=-0.4535% | ideal=-0.1542% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4955% | tail_usdt=0.00045100 | tails_map={USDT=0.00045100}
2026/04/10 08:58:51 [EXEC CMP] USDT→LINK→BTC | est=-0.3708% | ideal=-0.0713% | rounded=-0.0836% | strict=-0.3925% | tails=-0.3845% | tail_usdt=0.00080028 | tails_map={USDT=0.00080028}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→SNX | est=-2.5149% | ideal=-2.2219% | rounded=-2.2400% | strict=-2.5430% | tails=-2.5384% | tail_usdt=0.00045550 | tails_map={USDT=0.00045550}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→DASH | est=-0.4535% | ideal=-0.1542% | rounded=-0.2000% | strict=-0.5000% | tails=-0.4955% | tail_usdt=0.00045100 | tails_map={USDT=0.00045100}
2026/04/10 08:58:51 [EXEC CMP] USDT→BTC→AVAX | est=-0.3709% | ideal=-0.0714% | rounded=-0.0900% | strict=-0.3900% | tails=-0.3856% | tail_usdt=0.00044000 | tails_map={USDT=0.00044000}
2026/04/10 08:58:51 [EXEC CMP] USDT→LYX→ETH | est=-1.1453% | ideal=-0.8482% | rounded=-0.8497% | strict=-1.1486% | tails=-1.1476% | tail_usdt=0.00010096 | tails_map={USDT=0.00010096}
2026/04/10 08:58:51 [EXEC CMP] USDT→LINK→BTC | est=-0.3627% | ideal=-0.0632% | rounded=-0.0764% | strict=-0.3853% | tails=-0.3773% | tail_usdt=0.00080056 | tails_map={USDT=0.00080056}
2026/04/10 08:58:51 [EXEC CMP] USDT→LINK→BTC | est=-0.3547% | ideal=-0.0552% | rounded=-0.0692% | strict=-0.3781% | tails=-0.3701% | tail_usdt=0.00080083 | tails_map={USDT=0.00080083}
2026/04/10 08:58:53 [EXEC CMP] USDT→SHIB→DOGE | est=-0.7149% | ideal=-0.4164% | rounded=-0.4165% | strict=-0.7150% | tails=-0.7150% | tail_usdt=0.00000156 | tails_map={USDT=0.00000156}
2026/04/10 08:58:53 [EXEC CMP] USDT→SHIB→DOGE | est=-0.6993% | ideal=-0.4008% | rounded=-0.4009% | strict=-0.6994% | tails=-0.6994% | tail_usdt=0.00000000 | tails_map={USDT=0.00000000}
2026/04/10 08:58:53 [EXEC CMP] USDT→SHIB→DOGE | est=-0.7207% | ideal=-0.4222% | rounded=-0.4223% | strict=-0.7208% | tails=-0.7208% | tail_usdt=0.00000214 | tails_map={USDT=0.00000214}
