A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,BTC,AVA,BUY BTC/USDT,BUY AVA/BTC,SELL AVA/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.00001,0.0001,0.00000001,0.00000001,0.1,0.1,0.01,0.0001,0.0001
USDT,BTC,ETC,BUY BTC/USDT,BUY ETC/BTC,SELL ETC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.000001,0.0000001,0.0000001,0.01,0.1,0.000001,0.000001,0.0001
USDT,BTC,ASTR,BUY BTC/USDT,BUY ASTR/BTC,SELL ASTR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,10,0.000001,0.001,0.0000000001,0.0000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,ZEC,BUY BTC/USDT,BUY ZEC/BTC,SELL ZEC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.000001,0.0001,0.0000001,0.0000001,0.001,0.1,0.0001,0.001,0.001
USDT,BTC,ATOM,BUY BTC/USDT,BUY ATOM/BTC,SELL ATOM/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,BCHSV,BUY BTC/USDT,BUY BCHSV/BTC,SELL BCHSV/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.00001,0.001,0.0000001,0.0000001,0.001,0.1,0.001,0.01,0.01
USDT,BTC,TWT,BUY BTC/USDT,BUY TWT/BTC,SELL TWT/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,CHZ,BUY BTC/USDT,BUY CHZ/BTC,SELL CHZ/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.00000001,0.0000000001,1,0.1,0.0001,0.00001,0.00001
USDT,BTC,VRA,BUY BTC/USDT,BUY VRA/BTC,SELL VRA/USDT,0.00001,0.1,0.00000001,0.000001,0.1,100,0.000001,1,0.000000000001,0.000000000001,100,0.1,1,0.0000001,0.0000001
USDT,BTC,AR,BUY BTC/USDT,BUY AR/BTC,SELL AR/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.0000001,0.0000001,0.01,0.1,0.0001,0.001,0.001
USDT,BTC,SUPER,BUY BTC/USDT,BUY SUPER/BTC,SELL SUPER/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.000000001,0.000000001,1,0.1,0.01,0.0001,0.0001
USDT,BTC,RLC,BUY BTC/USDT,BUY RLC/BTC,SELL RLC/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,A,BUY BTC/USDT,BUY A/BTC,SELL A/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,1,0.000000001,0.000000001,1,0.1,0.01,0.0001,0.0001
USDT,BTC,CFX,BUY BTC/USDT,BUY CFX/BTC,SELL CFX/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1,0.000001,0.0001,0.000000001,0.000000001,10,0.1,0.1,0.00001,0.00001
USDT,BTC,INJ,BUY BTC/USDT,BUY INJ/BTC,SELL INJ/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.00001,0.0001,0.00000001,0.00000001,0.01,0.1,0.0001,0.001,0.001
USDT,BTC,WIN,BUY BTC/USDT,BUY WIN/BTC,SELL WIN/USDT,0.00001,0.1,0.00000001,0.000001,0.1,1000,0.000001,0.0001,0.000000000001,0.000000000001,1000,0.1,0.0001,0.00000001,0.00000001
USDT,BTC,ERG,BUY BTC/USDT,BUY ERG/BTC,SELL ERG/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.1,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,DOT,BUY BTC/USDT,BUY DOT/BTC,SELL DOT/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.01,0.000001,0.0001,0.00000001,0.00000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,BTC,LINK,BUY BTC/USDT,BUY LINK/BTC,SELL LINK/USDT,0.00001,0.1,0.00000001,0.000001,0.1,0.001,0.000001,0.0001,0.00000001,0.00000001,0.01,0.1,0.0001,0.0001,0.0001
