A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,NEO,BTC,BUY NEO/USDT,0.001,0.001,0,SELL NEO/BTC,0.001,0.001,0,SELL BTC/USDT,0.00000001,0.00000001,0,NEOUSDT,BUY,NEO,USDT,0.001,0,0,0.001,0,0,NEOBTC,SELL,NEO,BTC,0.001,0,0,0.001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,SOL,BRL,BUY SOL/USDT,0.001,0.001,0,SELL SOL/BRL,0.001,0.001,0,SELL BRL/USDT,0.01,0.01,0,SOLUSDT,BUY,SOL,USDT,0.001,0,0,0.001,0,0,SOLBRL,SELL,SOL,BRL,0.001,0,0,0.001,0,0,BRLUSDT,SELL,BRL,USDT,0.01,0,0,0.01,0,0
USDT,SOL,BTC,BUY SOL/USDT,0.001,0.001,0,SELL SOL/BTC,0.01,0.01,0,SELL BTC/USDT,0.00000001,0.00000001,0,SOLUSDT,BUY,SOL,USDT,0.001,0,0,0.001,0,0,SOLBTC,SELL,SOL,BTC,0.01,0,0,0.01,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,SOL,EUR,BUY SOL/USDT,0.001,0.001,0,SELL SOL/EUR,0.001,0.001,0,SELL EUR/USDT,0.01,0.01,0,SOLUSDT,BUY,SOL,USDT,0.001,0,0,0.001,0,0,SOLEUR,SELL,SOL,EUR,0.001,0,0,0.001,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,RIO,EUR,BUY RIO/USDT,0.01,0.01,0,SELL RIO/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,RIOUSDT,BUY,RIO,USDT,0.01,0,0,0.01,0,0,RIOEUR,SELL,RIO,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,ETH,AR,BUY ETH/USDT,0.00001,0.00001,0,BUY AR/ETH,0.01,0.01,0,SELL AR/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,ARETH,BUY,AR,ETH,0.01,0,0,0.01,0,0,ARUSDT,SELL,AR,USDT,0.01,0,0,0.01,0,0
USDT,ETH,EUR,BUY ETH/USDT,0.00001,0.00001,0,SELL ETH/EUR,0.0001,0.0001,0,SELL EUR/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,ETHEUR,SELL,ETH,EUR,0.0001,0,0,0.0001,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,ETH,CRV,BUY ETH/USDT,0.00001,0.00001,0,BUY CRV/ETH,0.001,0.001,0,SELL CRV/USDT,0.001,0.001,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,CRVETH,BUY,CRV,ETH,0.001,0,0,0.001,0,0,CRVUSDT,SELL,CRV,USDT,0.001,0,0,0.001,0,0
USDT,ETH,XRP,BUY ETH/USDT,0.00001,0.00001,0,BUY XRP/ETH,0.01,0.01,0,SELL XRP/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,XRPETH,BUY,XRP,ETH,0.01,0,0,0.01,0,0,XRPUSDT,SELL,XRP,USDT,0.01,0,0,0.01,0,0
USDT,ETH,LINK,BUY ETH/USDT,0.00001,0.00001,0,BUY LINK/ETH,0.01,0.01,0,SELL LINK/USDT,0.01,0.01,0,ETHUSDT,BUY,ETH,USDT,0.00001,0,0,0.00001,0,0,LINKETH,BUY,LINK,ETH,0.01,0,0,0.01,0,0,LINKUSDT,SELL,LINK,USDT,0.01,0,0,0.01,0,0
