A,B,C,Leg1,Leg2,Leg3
USDT,ETC,BTC,BUY ETC/USDT,SELL ETC/BTC,SELL BTC/USDT
USDT,BTC,ETC,BUY BTC/USDT,BUY ETC/BTC,SELL ETC/USDT
USDT,ETC,ETH,BUY ETC/USDT,SELL ETC/ETH,SELL ETH/USDT
USDT,ETH,ETC,BUY ETH/USDT,BUY ETC/ETH,SELL ETC/USDT
USDT,XTZ,BTC,BUY XTZ/USDT,SELL XTZ/BTC,SELL BTC/USDT
USDT,BTC,XTZ,BUY BTC/USDT,BUY XTZ/BTC,SELL XTZ/USDT
USDT,MOVR,ETH,BUY MOVR/USDT,SELL MOVR/ETH,SELL ETH/USDT
USDT,ETH,MOVR,BUY ETH/USDT,BUY MOVR/ETH,SELL MOVR/USDT
USDT,LTC,ETH,BUY LTC/USDT,SELL LTC/ETH,SELL ETH/USDT
USDT,ETH,LTC,BUY ETH/USDT,BUY LTC/ETH,SELL LTC/USDT
USDT,LTC,BTC,BUY LTC/USDT,SELL LTC/BTC,SELL BTC/USDT
USDT,BTC,LTC,BUY BTC/USDT,BUY LTC/BTC,SELL LTC/USDT
USDT,LTC,KCS,BUY LTC/USDT,SELL LTC/KCS,SELL KCS/USDT
USDT,KCS,LTC,BUY KCS/USDT,BUY LTC/KCS,SELL LTC/USDT
USDT,ZIL,ETH,BUY ZIL/USDT,SELL ZIL/ETH,SELL ETH/USDT
USDT,ETH,ZIL,BUY ETH/USDT,BUY ZIL/ETH,SELL ZIL/USDT
USDT,WAN,BTC,BUY WAN/USDT,SELL WAN/BTC,SELL BTC/USDT
USDT,BTC,WAN,BUY BTC/USDT,BUY WAN/BTC,SELL WAN/USDT
USDT,WIN,TRX,BUY WIN/USDT,SELL WIN/TRX,SELL TRX/USDT
USDT,TRX,WIN,BUY TRX/USDT,BUY WIN/TRX,SELL WIN/USDT
USDT,WIN,BTC,BUY WIN/USDT,SELL WIN/BTC,SELL BTC/USDT
USDT,BTC,WIN,BUY BTC/USDT,BUY WIN/BTC,SELL WIN/USDT
USDT,RUNE,BTC,BUY RUNE/USDT,SELL RUNE/BTC,SELL BTC/USDT
USDT,BTC,RUNE,BUY BTC/USDT,BUY RUNE/BTC,SELL RUNE/USDT
USDT,PERP,BTC,BUY PERP/USDT,SELL PERP/BTC,SELL BTC/USDT
