A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,BTC,A,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY A/BTC,1,1,0.000001,SELL A/USDT,0.01,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,A-BTC,BUY,A,BTC,1,0.000000001,0.000000001,1,0.000001,0.000001,A-USDT,SELL,A,USDT,0.01,0.0001,0.0001,1,0.1,0.1
USDT,BTC,AAVE,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY AAVE/BTC,0.0001,0.001,0.000001,SELL AAVE/USDT,0.0001,0.001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,AAVE-BTC,BUY,AAVE,BTC,0.0001,0.000001,0.000001,0.001,0.000001,0.000001,AAVE-USDT,SELL,AAVE,USDT,0.0001,0.001,0.001,0.001,0.1,0.1
USDT,BTC,ADA,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ADA/BTC,0.0001,1,0.000001,SELL ADA/USDT,0.01,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ADA-BTC,BUY,ADA,BTC,0.0001,0.00000001,0.00000001,1,0.000001,0.000001,ADA-USDT,SELL,ADA,USDT,0.01,0.0001,0.0001,1,0.1,0.1
USDT,BTC,ALGO,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ALGO/BTC,0.0001,0.01,0.000001,SELL ALGO/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ALGO-BTC,BUY,ALGO,BTC,0.0001,0.000000001,0.000000001,0.01,0.000001,0.000001,ALGO-USDT,SELL,ALGO,USDT,0.0001,0.0001,0.0001,1,0.1,0.1
USDT,BTC,ANKR,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ANKR/BTC,0.0001,10,0.000001,SELL ANKR/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ANKR-BTC,BUY,ANKR,BTC,0.0001,0.00000001,0.0000000001,10,0.00001,0.000001,ANKR-USDT,SELL,ANKR,USDT,0.0001,0.00001,0.00001,1,0.1,0.1
USDT,BTC,AR,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY AR/BTC,0.0001,0.01,0.000001,SELL AR/USDT,0.0001,0.01,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,AR-BTC,BUY,AR,BTC,0.0001,0.0000001,0.0000001,0.01,0.00001,0.000001,AR-USDT,SELL,AR,USDT,0.0001,0.001,0.001,0.01,0.1,0.1
USDT,BTC,ATOM,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ATOM/BTC,0.0001,0.01,0.000001,SELL ATOM/USDT,0.0001,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ATOM-BTC,BUY,ATOM,BTC,0.0001,0.00000001,0.00000001,0.01,0.000001,0.000001,ATOM-USDT,SELL,ATOM,USDT,0.0001,0.0001,0.0001,0.1,0.1,0.1
USDT,BTC,AVA,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY AVA/BTC,0.0001,0.1,0.000001,SELL AVA/USDT,0.01,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,AVA-BTC,BUY,AVA,BTC,0.0001,0.00000001,0.00000001,0.1,0.00001,0.000001,AVA-USDT,SELL,AVA,USDT,0.01,0.0001,0.0001,0.1,0.1,0.1
USDT,BTC,AVAX,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY AVAX/BTC,0.0001,0.01,0.000001,SELL AVAX/USDT,0.0001,0.01,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,AVAX-BTC,BUY,AVAX,BTC,0.0001,0.00000001,0.00000001,0.01,0.000001,0.000001,AVAX-USDT,SELL,AVAX,USDT,0.0001,0.001,0.001,0.01,0.1,0.1
USDT,BTC,BCH,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY BCH/BTC,0.0001,0.0001,0.000001,SELL BCH/USDT,0.0001,0.0001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BCH-BTC,BUY,BCH,BTC,0.0001,0.000001,0.000001,0.0001,0.000001,0.000001,BCH-USDT,SELL,BCH,USDT,0.0001,0.01,0.01,0.0001,0.1,0.1
USDT,BTC,BCHSV,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY BCHSV/BTC,0.001,0.001,0.000001,SELL BCHSV/USDT,0.001,0.001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BCHSV-BTC,BUY,BCHSV,BTC,0.001,0.0000001,0.0000001,0.001,0.00001,0.000001,BCHSV-USDT,SELL,BCHSV,USDT,0.001,0.01,0.01,0.001,0.1,0.1
USDT,BTC,BDX,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY BDX/BTC,0.0001,1,0.000001,SELL BDX/USDT,0.0001,10,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BDX-BTC,BUY,BDX,BTC,0.0001,0.000000001,0.000000001,1,0.000001,0.000001,BDX-USDT,SELL,BDX,USDT,0.0001,0.00001,0.00001,10,0.1,0.1
USDT,BTC,BNB,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY BNB/BTC,0.0001,0.001,0.000001,SELL BNB/USDT,0.0001,0.001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BNB-BTC,BUY,BNB,BTC,0.0001,0.0000001,0.0000001,0.001,0.000001,0.000001,BNB-USDT,SELL,BNB,USDT,0.0001,0.001,0.001,0.001,0.1,0.1
USDT,BTC,BRL,BUY BTC/USDT,0.00000001,0.00001,0.1,SELL BTC/BRL,0.00001,0.000001,0,BUY USDT/BRL,0.0001,0.01,0,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BTC-BRL,SELL,BTC,BRL,0.00001,0.1,0.1,0.000001,0.1,0,USDT-BRL,BUY,USDT,BRL,0.0001,0.0001,0.0001,0.01,0.1,0
USDT,BTC,CHZ,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY CHZ/BTC,0.0001,1,0.000001,SELL CHZ/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,CHZ-BTC,BUY,CHZ,BTC,0.0001,0.00000001,0.0000000001,1,0.000001,0.000001,CHZ-USDT,SELL,CHZ,USDT,0.0001,0.00001,0.00001,1,0.1,0.1
USDT,BTC,CKB,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY CKB/BTC,0.0001,10,0.000001,SELL CKB/USDT,0.0001,10,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,CKB-BTC,BUY,CKB,BTC,0.0001,0.00000000001,0.00000000001,10,0.000001,0.000001,CKB-USDT,SELL,CKB,USDT,0.0001,0.000001,0.000001,10,0.1,0.1
USDT,BTC,COTI,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY COTI/BTC,0.01,1,0.000001,SELL COTI/USDT,0.01,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,COTI-BTC,BUY,COTI,BTC,0.01,0.0000000001,0.0000000001,1,0.000001,0.000001,COTI-USDT,SELL,COTI,USDT,0.01,0.00001,0.00001,1,0.1,0.1
USDT,BTC,CRO,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY CRO/BTC,0.0001,1,0.000001,SELL CRO/USDT,0.0001,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,CRO-BTC,BUY,CRO,BTC,0.0001,0.000000001,0.000000001,1,0.00001,0.000001,CRO-USDT,SELL,CRO,USDT,0.0001,0.00001,0.00001,0.1,0.1,0.1
USDT,BTC,DASH,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY DASH/BTC,0.00000001,0.0001,0.000001,SELL DASH/USDT,0.0001,0.0001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,DASH-BTC,BUY,DASH,BTC,0.00000001,0.0000001,0.0000001,0.0001,0.00001,0.000001,DASH-USDT,SELL,DASH,USDT,0.0001,0.01,0.01,0.0001,0.1,0.1
USDT,BTC,DOGE,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY DOGE/BTC,0.0001,10,0.000001,SELL DOGE/USDT,0.0001,10,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,DOGE-BTC,BUY,DOGE,BTC,0.0001,0.000000001,0.000000001,10,0.00001,0.000001,DOGE-USDT,SELL,DOGE,USDT,0.0001,0.00001,0.00001,10,0.1,0.1
USDT,BTC,DOT,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY DOT/BTC,0.0001,0.01,0.000001,SELL DOT/USDT,0.0001,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,DOT-BTC,BUY,DOT,BTC,0.0001,0.00000001,0.00000001,0.01,0.000001,0.000001,DOT-USDT,SELL,DOT,USDT,0.0001,0.0001,0.0001,0.1,0.1,0.1
USDT,BTC,EGLD,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY EGLD/BTC,0.0001,0.01,0.000001,SELL EGLD/USDT,0.0001,0.01,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,EGLD-BTC,BUY,EGLD,BTC,0.0001,0.00000001,0.00000001,0.01,0.00001,0.000001,EGLD-USDT,SELL,EGLD,USDT,0.0001,0.01,0.01,0.01,1,0.1
USDT,BTC,ERG,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ERG/BTC,0.0001,0.1,0.000001,SELL ERG/USDT,0.0001,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ERG-BTC,BUY,ERG,BTC,0.0001,0.00000001,0.00000001,0.1,0.000001,0.000001,ERG-USDT,SELL,ERG,USDT,0.0001,0.0001,0.0001,0.1,0.1,0.1
USDT,BTC,ETC,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ETC/BTC,0.000001,0.01,0.000001,SELL ETC/USDT,0.000001,0.01,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ETC-BTC,BUY,ETC,BTC,0.000001,0.0000001,0.0000001,0.01,0.00001,0.000001,ETC-USDT,SELL,ETC,USDT,0.000001,0.000001,0.0001,0.01,0.1,0.1
USDT,BTC,ETH,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ETH/BTC,0.0000001,0.0001,0.000001,SELL ETH/USDT,0.0000001,0.0001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ETH-BTC,BUY,ETH,BTC,0.0000001,0.00001,0.00001,0.0001,0.00001,0.000001,ETH-USDT,SELL,ETH,USDT,0.0000001,0.000001,0.01,0.0001,0.01,0.1
USDT,BTC,EUR,BUY BTC/USDT,0.00000001,0.00001,0.1,SELL BTC/EUR,0.00001,0.00001,0,BUY USDT/EUR,0.0001,0.1,0,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,BTC-EUR,SELL,BTC,EUR,0.00001,0.01,0.01,0.00001,0.1,0,USDT-EUR,BUY,USDT,EUR,0.0001,0.0001,0.0001,0.1,0.1,0
USDT,BTC,EWT,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY EWT/BTC,0.01,1,0.000001,SELL EWT/USDT,0.01,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,EWT-BTC,BUY,EWT,BTC,0.01,0.000000001,0.000000001,1,0.000001,0.000001,EWT-USDT,SELL,EWT,USDT,0.01,0.00001,0.00001,1,0.1,0.1
USDT,BTC,FET,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY FET/BTC,0.0001,0.1,0.000001,SELL FET/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,FET-BTC,BUY,FET,BTC,0.0001,0.000000001,0.000000001,0.1,0.00001,0.000001,FET-USDT,SELL,FET,USDT,0.0001,0.0001,0.0001,1,0.1,0.1
USDT,BTC,HBAR,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY HBAR/BTC,0.0001,1,0.000001,SELL HBAR/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,HBAR-BTC,BUY,HBAR,BTC,0.0001,0.000000001,0.000000001,1,0.000001,0.000001,HBAR-USDT,SELL,HBAR,USDT,0.0001,0.00001,0.00001,1,0.1,0.1
USDT,BTC,ICP,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY ICP/BTC,0.0001,0.001,0.000001,SELL ICP/USDT,0.0001,0.001,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,ICP-BTC,BUY,ICP,BTC,0.0001,0.00000001,0.00000001,0.001,0.000001,0.000001,ICP-USDT,SELL,ICP,USDT,0.0001,0.001,0.001,0.001,0.1,0.1
USDT,BTC,INJ,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY INJ/BTC,0.0001,0.01,0.000001,SELL INJ/USDT,0.0001,0.01,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,INJ-BTC,BUY,INJ,BTC,0.0001,0.00000001,0.00000001,0.01,0.00001,0.000001,INJ-USDT,SELL,INJ,USDT,0.0001,0.001,0.001,0.01,0.1,0.1
USDT,BTC,IOTA,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY IOTA/BTC,0.0001,0.1,0.000001,SELL IOTA/USDT,0.0001,0.1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,IOTA-BTC,BUY,IOTA,BTC,0.0001,0.000000001,0.000000001,0.1,0.000001,0.000001,IOTA-USDT,SELL,IOTA,USDT,0.0001,0.0001,0.0001,0.1,0.1,0.1
USDT,BTC,IOTX,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY IOTX/BTC,0.0001,1,0.000001,SELL IOTX/USDT,0.0001,1,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,IOTX-BTC,BUY,IOTX,BTC,0.0001,0.0000000001,0.0000000001,1,0.00001,0.000001,IOTX-USDT,SELL,IOTX,USDT,0.0001,0.00001,0.00001,1,0.1,0.1
USDT,BTC,KAS,BUY BTC/USDT,0.00000001,0.00001,0.1,BUY KAS/BTC,0.0001,1,0.000001,SELL KAS/USDT,0.0001,10,0.1,BTC-USDT,BUY,BTC,USDT,0.00000001,0.000001,0.1,0.00001,0.1,0.1,KAS-BTC,BUY,KAS,BTC,0.0001,0.000000001,0.000000001,1,0.000001,0.000001,KAS-USDT,SELL,KAS,USDT,0.0001,0.00001,0.00001,10,0.1,0.1
